a-tlg0540.tlg014-1-47-s26033-w27	a-tlg0540.tlg014-1-47-s26033-w0	Lysias_Oration14.tb.a.gz##55.0	a-tlg0540.	genre	subgenre	v--ana---	a-s---nn-	4	2	order	subtree	#Reconstructed
a-tlg0012.tlg001-19.124-s26845-w7	a-tlg0012.tlg001-19.124-s26845-w0	tlg0012.tlg001.perseus-grc1.19.tb.a.gz##72.0	a-tlg0012.	genre	subgenre	v--pna---	a-s---nn-	4	3	order	subtree	#Reconstructed
a-tlg0016.tlg001-1.193-s6818-w17	a-tlg0016.tlg001-1.193-s6818-w0	Herodotus_Book1.tb.a.gz##1362.0	a-tlg0016.	genre	subgenre	v-sppann-	p-s---nn-	12	18	order	subtree	εἰμί
a-tlg0085.tlg001-929-s18610-w6	a-tlg0085.tlg001-929-s18610-w0	tlg0085.tlg001.perseus-grc2.tb.a.gz##458.0	a-tlg0085.	genre	subgenre	a-s---nn-	a-s---nn-	2	1	order	subtree	#Reconstructed
a-tlg0012.tlg002-11.373-s10924-w9	a-tlg0012.tlg002-11.373-s10924-w0	tlg0012.tlg002.perseus-grc1.11.tb.a.gz##190.0	a-tlg0012.	genre	subgenre	n-s---fn-	a-s---fn-	1	5	order	subtree	#Reconstructed
a-tlg0012.tlg002-22.136-22.137-s843-w13	a-tlg0012.tlg002-22.136-22.137-s843-w0	tlg0012.tlg002.perseus-grc1.22.tb.a.gz##77.0	a-tlg0012.	genre	subgenre	n-s---nn-	a-s---nn-	9	8	order	subtree	#Reconstructed
a-tlg0003.tlg001-1.75.5-s23208-w13	a-tlg0003.tlg001-1.75.5-s23208-w0	Thucydides_Book1.tb.a.gz##466.0	a-tlg0003.	genre	subgenre	v--pne---	a-s---nn-	11	3	order	subtree	#Reconstructed
a-tlg0008.tlg001-12.40-s16163-w11	a-tlg0008.tlg001-12.40-s16163-w0	Athenaeus_Book12.tb.a.gz##476.0	a-tlg0008.	genre	subgenre	n-p---fn-	a-p---fn-	1	3	order	subtree	#Reconstructed
a-tlg0016.tlg001-1.153-s6548-w12	a-tlg0016.tlg001-1.153-s6548-w0	Herodotus_Book1.tb.a.gz##1092.0	a-tlg0016.	genre	subgenre	n-s---fn-	p-p---md-	15	11	order	subtree	εἰμί
a-tlg0003.tlg001-1.82.6-s23262-w22	a-tlg0003.tlg001-1.82.6-s23262-w0	Thucydides_Book1.tb.a.gz##520.0	a-tlg0003.	genre	subgenre	v--ane---	a-s---nn-	20	18	order	subtree	#Reconstructed
a-tlg0020.tlg002-202-s33082-w11	a-tlg0020.tlg002-202-s33082-w0	tlg0020.tlg002.perseus-grc1.tb.a.gz##124.0	a-tlg0020.	genre	subgenre	v3spsa---	a-s---mn-	6	1	order	subtree	#Reconstructed
a-tlg0012.tlg001-18.54-18.56-s8983-w23	a-tlg0012.tlg001-18.54-18.56-s8983-w0	tlg0012.tlg001.perseus-grc1.18.tb.a.gz##28.0	a-tlg0012.	genre	subgenre	p-s---fn-	a-s---fn-	3	4	order	subtree	#Reconstructed
a-tlg0008.tlg001-12.27-s16034-w19	a-tlg0008.tlg001-12.27-s16034-w0	Athenaeus_Book12.tb.a.gz##347.0	a-tlg0008.	genre	subgenre	p-s---nn-	a-s---nn-	1	3	order	subtree	#Reconstructed
a-tlg0008.tlg001-13.7-s14076-w5	a-tlg0008.tlg001-13.7-s14076-w0	Athenaeus_Book13.tb.a.gz##97.0	a-tlg0008.	genre	subgenre	n-s---nn-	d--------	4	6	order	subtree	εἰμί
a-tlg0016.tlg001-1.104.1-s6203-w49	a-tlg0016.tlg001-1.104.1-s6203-w0	Herodotus_Book1.tb.a.gz##747.0	a-tlg0016.	genre	subgenre	v--ana---	a-s---nn-	25	24	order	subtree	#Reconstructed
a-tlg0007.tlg004-9.5-s33572-w8	a-tlg0007.tlg004-9.5-s33572-w0	Plutarch_Lycurgus.tb.a.gz##106.0	a-tlg0007.	genre	subgenre	n-s---mn-	a-s---mn-	6	1	order	subtree	#Reconstructed
a-tlg0011.tlg004-463-465-s7692-w14	a-tlg0011.tlg004-463-465-s7692-w0	tlg0011.tlg004.perseus-grc1.tb.a.gz##255.0	a-tlg0011.	genre	subgenre	p-s---mn-	v3saia---	1	6	order	subtree	#Reconstructed
a-tlg0016.tlg001-1.148.1-s6521-w4	a-tlg0016.tlg001-1.148.1-s6521-w0	Herodotus_Book1.tb.a.gz##1065.0	a-tlg0016.	genre	subgenre	n-s---fn-	n-s---fn-	3	7	order	subtree	εἰμί
a-tlg0008.tlg001-13.50-s14772-w13	a-tlg0008.tlg001-13.50-s14772-w0	Athenaeus_Book13.tb.a.gz##793.0	a-tlg0008.	genre	subgenre	n-p---fn-	n-p---fn-	2	4	order	subtree	#Reconstructed
